ID;Species;Initial;Treatment;Deployment;Retrieval;Final;Dry
1677;Laminaria digitata;7.663;;15.11.2024;;;
;;;;;;;
1678;Laminaria digitata;6.630;prekilled;15.11.2024;;;
;;;;;;;
1679;Laminaria digitata;6.981;prekilled;15.11.2024;;;
;;;;;;;
1680;Laminaria digitata;8.270;;15.11.2024;;;
;;;;;;;
1681;Laminaria digitata;7.887;prekilled;15.11.2024;;;
;;;;;;;
1682;Laminaria digitata;9.512;;15.11.2024;;;
;;;;;;;
1683;Laminaria digitata;7.176;;15.11.2024;;;
;;;;;;;
1684;Laminaria digitata;5.477;;15.11.2024;;;
;;;;;;;
1685;Laminaria digitata;10.165;prekilled;15.11.2024;;;
;;;;;;;
1686;Laminaria digitata;10.862;prekilled;15.11.2024;;;
;;;;;;;
1687;Laminaria digitata;8.475;prekilled;15.11.2024;;;
;;;;;;;
1688;Laminaria digitata;5.604;prekilled;15.11.2024;;;
;;;;;;;
1689;Laminaria digitata;8.700;prekilled;15.11.2024;;;
;;;;;;;
1690;Laminaria digitata;6.560;prekilled;15.11.2024;;;
;;;;;;;
1691;Laminaria digitata;7.879;prekilled;15.11.2024;;;
;;;;;;;
1692;Laminaria digitata;7.407;prekilled;15.11.2024;;;
;;;;;;;
1693;Laminaria digitata;6.036;prekilled;15.11.2024;;;
;;;;;;;
1694;Laminaria digitata;7.831;prekilled;15.11.2024;;;
;;;;;;;
1695;Laminaria digitata;7.040;;15.11.2024;;;
;;;;;;;
1696;Laminaria digitata;7.894;;15.11.2024;;;
;;;;;;;
1697;Laminaria digitata;9.339;prekilled;15.11.2024;;;
;;;;;;;
1698;Laminaria digitata;7.473;prekilled;15.11.2024;;;
;;;;;;;
1699;Laminaria digitata;9.024;prekilled;15.11.2024;;;
;;;;;;;
1700;Laminaria ochroleuca;3.610;;15.11.2024;;;
;;;;;;;
1701;Laminaria ochroleuca;4.579;;15.11.2024;;;
;;;;;;;
1702;Laminaria ochroleuca;4.149;prekilled;15.11.2024;;;
;;;;;;;
1703;Laminaria ochroleuca;6.879;;15.11.2024;;;
;;;;;;;
1704;Laminaria ochroleuca;3.507;;15.11.2024;;;
;;;;;;;
1705;Laminaria ochroleuca;8.624;;15.11.2024;;;
;;;;;;;
1706;Laminaria ochroleuca;6.626;prekilled;15.11.2024;;;
;;;;;;;
1707;Laminaria ochroleuca;6.550;prekilled;15.11.2024;;;
;;;;;;;
1708;Laminaria ochroleuca;4.520;prekilled;15.11.2024;;;
;;;;;;;
1709;Laminaria ochroleuca;4.564;prekilled;15.11.2024;;;
;;;;;;;
1710;Laminaria ochroleuca;4.082;;15.11.2024;;;
;;;;;;;
1711;Laminaria ochroleuca;4.737;;15.11.2024;;;
;;;;;;;
