Experiment,Species,Condition,k,t0.5,alpha,mu,tau
66,Saccharina latissima,Live,0.33 (-1.2 ± 0.55),209 (5.4 ± 0.55),0.39 ± 0.54,111 (4.8 ± 0.71),4.4 (1.4 ± 0.4)
67,Saccharina latissima,Live,1.9 (0.65 ± 0.22),36 (3.6 ± 0.22),-3 ± 1.1,145 (4.8 ± 1.1),7.9 (2 ± 0.27)
68,Saccharina latissima,Live,0.54 (-0.71 ± 0.56),129 (4.9 ± 0.56),-0.8 ± 1.1,33 (3.6 ± 0.65),5.5 (1.7 ± 0.25)
69,Saccharina latissima,Live,0.21 (-1.7 ± 0.78),334 (5.9 ± 0.78),0.61 ± 0.52,107 (4.8 ± 0.76),4.2 (1.4 ± 0.39)
70,Saccharina latissima,Live,0.73 (-0.37 ± 0.44),95 (4.6 ± 0.44),-0.79 ± 1.1,32 (3.6 ± 0.62),5.5 (1.7 ± 0.25)
71,Laminaria hyperborea,Live,0.11 (-2.4 ± 0.75),649 (6.6 ± 0.75),0.41 ± 0.31,219 (5.5 ± 0.81),3.8 (1.3 ± 0.41)
72,Laminaria hyperborea,Live,0.14 (-2.1 ± 0.8),510 (6.4 ± 0.8),0.42 ± 0.38,202 (5.4 ± 0.84),3.8 (1.3 ± 0.42)
73,Laminaria hyperborea,Live,0.14 (-2.1 ± 0.79),490 (6.3 ± 0.79),0.38 ± 0.35,219 (5.5 ± 0.81),3.8 (1.3 ± 0.41)
74,Saccharina latissima,Live,0.71 (-0.35 ± 0.26),97 (4.6 ± 0.26),0.017 ± 0.48,137 (5 ± 0.7),4.8 (1.5 ± 0.38)
75,Saccharina latissima,Live,0.52 (-0.7 ± 0.43),133 (4.9 ± 0.43),0.23 ± 0.52,127 (4.9 ± 0.7),4.6 (1.4 ± 0.39)
76,Saccharina latissima,Live,0.55 (-0.64 ± 0.41),126 (4.9 ± 0.41),0.26 ± 0.55,119 (4.9 ± 0.71),4.5 (1.4 ± 0.4)
77,Laminaria hyperborea,Live,0.17 (-1.9 ± 0.86),401 (6.1 ± 0.86),0.44 ± 0.45,191 (5.3 ± 0.91),3.8 (1.3 ± 0.41)
78,Laminaria hyperborea,Live,0.085 (-2.6 ± 0.86),819 (6.8 ± 0.86),0.62 ± 0.42,201 (5.4 ± 0.87),3.6 (1.2 ± 0.43)
79,Laminaria hyperborea,Live,0.22 (-1.6 ± 1),315 (5.9 ± 1),0.46 ± 0.79,187 (5.2 ± 0.97),3.7 (1.3 ± 0.44)
80,Saccharina latissima,Live,0.18 (-1.8 ± 0.79),387 (6.1 ± 0.79),0.64 ± 0.51,111 (4.8 ± 0.74),4.1 (1.4 ± 0.4)
81,Saccharina latissima,Live,0.25 (-1.5 ± 0.75),277 (5.7 ± 0.75),0.51 ± 0.55,103 (4.7 ± 0.76),4.3 (1.4 ± 0.39)
82,Saccharina latissima,Live,0.28 (-1.4 ± 0.91),249 (5.6 ± 0.91),0.52 ± 0.85,95 (4.6 ± 0.84),4.2 (1.4 ± 0.4)
83,Laminaria hyperborea,Live,0.35 (-1.2 ± 0.66),201 (5.4 ± 0.66),0.22 ± 0.41,195 (5.3 ± 0.89),4 (1.3 ± 0.39)
84,Laminaria hyperborea,Live,0.48 (-0.83 ± 0.55),146 (5.1 ± 0.55),0.088 ± 0.42,199 (5.4 ± 0.89),4.1 (1.4 ± 0.38)
85,Laminaria hyperborea,Live,0.42 (-0.98 ± 0.6),167 (5.2 ± 0.6),0.16 ± 0.41,199 (5.4 ± 0.89),4.1 (1.4 ± 0.39)
86,Saccharina latissima,Live,0.64 (-0.5 ± 0.41),109 (4.7 ± 0.41),0.11 ± 0.57,106 (4.7 ± 0.77),4.7 (1.5 ± 0.38)
87,Saccharina latissima,Live,0.65 (-0.47 ± 0.41),106 (4.7 ± 0.41),0.1 ± 0.55,111 (4.8 ± 0.77),4.7 (1.5 ± 0.37)
88,Saccharina latissima,Live,0.41 (-0.99 ± 0.57),170 (5.2 ± 0.57),0.34 ± 0.52,111 (4.8 ± 0.74),4.4 (1.4 ± 0.39)
89,Laminaria hyperborea,Live,0.7 (-0.39 ± 0.36),99 (4.6 ± 0.36),-0.35 ± 0.58,165 (5.1 ± 0.99),4.6 (1.5 ± 0.36)
90,Laminaria hyperborea,Live,0.4 (-1 ± 0.57),173 (5.2 ± 0.57),0.12 ± 0.43,191 (5.3 ± 0.91),4.1 (1.4 ± 0.39)
91,Laminaria hyperborea,Live,0.53 (-0.69 ± 0.45),130 (4.9 ± 0.45),-0.11 ± 0.45,193 (5.3 ± 0.92),4.3 (1.4 ± 0.37)
92,Saccharina latissima,Live,0.87 (-0.16 ± 0.31),80 (4.4 ± 0.31),-0.098 ± 0.61,113 (4.8 ± 0.79),4.9 (1.5 ± 0.37)
93,Saccharina latissima,Live,1.2 (0.16 ± 0.28),58 (4.1 ± 0.28),-0.42 ± 0.73,100 (4.7 ± 0.84),5.2 (1.6 ± 0.35)
94,Saccharina latissima,Live,0.36 (-1.1 ± 0.57),192 (5.4 ± 0.57),0.35 ± 0.52,116 (4.8 ± 0.75),4.4 (1.4 ± 0.39)
95,Saccharina latissima,Live,1.1 (0.12 ± 0.26),61 (4.1 ± 0.26),-0.41 ± 0.91,42 (3.7 ± 0.35),5.1 (1.6 ± 0.2)
96,Saccharina latissima,Live,0.2 (-1.7 ± 0.67),349 (6 ± 0.67),0.61 ± 0.59,104 (4.8 ± 0.68),4.2 (1.4 ± 0.42)
97,Saccharina latissima,Live,0.28 (-1.3 ± 0.58),244 (5.6 ± 0.58),0.42 ± 0.83,47 (3.8 ± 0.38),4.3 (1.4 ± 0.27)
98,Laminaria hyperborea,Live,0.016 (-4.2 ± 0.71),4230 (8.4 ± 0.71),0.8 ± 0.24,226 (5.6 ± 0.73),3.4 (1.2 ± 0.45)
99,Laminaria hyperborea,Live,0.02 (-4 ± 0.73),3432 (8.2 ± 0.73),0.74 ± 0.34,200 (5.4 ± 0.76),3.5 (1.2 ± 0.45)
100,Saccharina latissima,Live,0.35 (-1.1 ± 0.3),200 (5.3 ± 0.3),0.52 ± 0.48,117 (4.8 ± 0.56),4.3 (1.4 ± 0.42)
101,Saccharina latissima,Live,0.44 (-0.83 ± 0.25),156 (5.1 ± 0.25),0.44 ± 0.63,107 (4.7 ± 0.62),4.4 (1.4 ± 0.43)
102,Laminaria hyperborea,Live,0.076 (-2.7 ± 0.84),908 (6.9 ± 0.84),0.97 ± 0.34,191 (5.3 ± 0.91),3.3 (1.1 ± 0.46)
103,Laminaria ochroleuca,Live,0.13 (-2.2 ± 0.78),535 (6.4 ± 0.78),1.4 ± 0.58,47 (4 ± 0.69),5.4 (1.7 ± 0.24)
104,Laminaria hyperborea,Live,0.082 (-2.6 ± 0.84),850 (6.8 ± 0.84),0.92 ± 0.34,193 (5.3 ± 0.91),3.3 (1.1 ± 0.45)
105,Laminaria ochroleuca,Live,0.42 (-0.96 ± 0.53),165 (5.2 ± 0.53),1.4 ± 0.76,31 (3.6 ± 0.58),5.4 (1.7 ± 0.25)
106,Laminaria hyperborea,Live,0.4 (-1 ± 0.6),171 (5.3 ± 0.6),0.39 ± 0.36,185 (5.3 ± 0.95),3.8 (1.3 ± 0.4)
107,Laminaria ochroleuca,Live,1 (-0.0076 ± 0.24),68 (4.2 ± 0.24),1.1 ± 0.73,19 (2.9 ± 0.22),5.7 (1.7 ± 0.18)
108,Laminaria hyperborea,Live,0.28 (-1.4 ± 1.1),248 (5.6 ± 1.1),0.19 ± 1.1,183 (5.2 ± 1),4 (1.3 ± 0.45)
109,Laminaria ochroleuca,Live,0.49 (-0.84 ± 1.1),143 (5.1 ± 1.1),0.82 ± 1.4,43 (3.8 ± 0.91),5.8 (1.7 ± 0.3)
110,Laminaria hyperborea,Live,0.32 (-1.2 ± 1.1),218 (5.5 ± 1.1),0.11 ± 1.1,180 (5.2 ± 1),4.1 (1.3 ± 0.45)
111,Laminaria ochroleuca,Live,0.42 (-0.99 ± 1.1),167 (5.2 ± 1.1),0.99 ± 1.4,44 (3.9 ± 0.89),5.7 (1.7 ± 0.31)
112,Laminaria hyperborea,Live,2 (0.42 ± 1.1),35 (3.8 ± 1.1),-1.1 ± 1.3,179 (5.2 ± 1),5.2 (1.6 ± 0.41)
113,Laminaria ochroleuca,Live,2.4 (0.7 ± 0.9),29 (3.5 ± 0.9),-1.6 ± 1.9,36 (3.6 ± 1.1),8.2 (2.1 ± 0.27)
114,Laminaria hyperborea,Live,0.26 (-1.4 ± 1.1),264 (5.7 ± 1.1),0.3 ± 0.98,182 (5.2 ± 1),3.9 (1.3 ± 0.45)
115,Laminaria hyperborea,Live,0.25 (-1.5 ± 1.1),279 (5.7 ± 1.1),0.32 ± 0.99,183 (5.2 ± 1),3.9 (1.3 ± 0.45)
116,Laminaria hyperborea,Live,0.42 (-1 ± 1.1),167 (5.2 ± 1.1),-0.031 ± 1.1,182 (5.2 ± 1),4.2 (1.4 ± 0.44)
117,Laminaria ochroleuca,Live,0.37 (-1.1 ± 1),190 (5.4 ± 1),1.1 ± 1.3,44 (3.9 ± 0.89),5.6 (1.7 ± 0.3)
118,Laminaria ochroleuca,Live,0.36 (-1.1 ± 1),195 (5.4 ± 1),1.2 ± 1.3,44 (3.9 ± 0.89),5.5 (1.7 ± 0.3)
119,Laminaria ochroleuca,Live,0.57 (-0.7 ± 1),121 (4.9 ± 1),0.62 ± 1.3,43 (3.8 ± 0.91),6.1 (1.8 ± 0.29)
120,Laminaria hyperborea,Live,0.28 (-1.4 ± 1.1),245 (5.6 ± 1.1),0.24 ± 1,183 (5.2 ± 1),3.9 (1.3 ± 0.45)
121,Laminaria ochroleuca,Live,0.91 (-0.28 ± 1),76 (4.5 ± 1),0.2 ± 1.4,42 (3.8 ± 0.94),6.5 (1.8 ± 0.28)
122,Laminaria hyperborea,Live,0.27 (-1.4 ± 1.1),254 (5.6 ± 1.1),0.27 ± 0.99,182 (5.2 ± 1),3.9 (1.3 ± 0.45)
123,Laminaria ochroleuca,Live,1.1 (-0.073 ± 1),61 (4.3 ± 1),-0.27 ± 1.5,40 (3.7 ± 0.97),6.9 (1.9 ± 0.27)
124,Laminaria hyperborea,Live,0.51 (-0.83 ± 1.2),136 (5.1 ± 1.2),-0.15 ± 1.1,181 (5.2 ± 1),4.3 (1.4 ± 0.43)
125,Laminaria ochroleuca,Live,2.2 (0.6 ± 0.83),32 (3.6 ± 0.83),-0.57 ± 1.5,39 (3.7 ± 0.99),7.2 (2 ± 0.27)
126,Laminaria hyperborea,Live,1.3 (0.31 ± 0.61),55 (3.9 ± 0.61),-0.43 ± 0.72,178 (5.2 ± 0.95),4.7 (1.5 ± 0.38)
127,Laminaria hyperborea,Live,2.6 (1.1 ± 0.69),26 (3.2 ± 0.69),-1.8 ± 1.2,114 (4.8 ± 1.1),6 (1.8 ± 0.3)
128,Laminaria hyperborea,Live,2.6 (1.1 ± 0.69),26 (3.2 ± 0.69),-1.7 ± 1.2,113 (4.8 ± 1.1),5.9 (1.7 ± 0.31)
129,Laminaria hyperborea,Live,2.5 (1 ± 0.69),28 (3.2 ± 0.69),-1.4 ± 1.1,124 (4.9 ± 1.1),5.6 (1.7 ± 0.32)
130,Laminaria hyperborea,Live,2.4 (0.96 ± 0.73),29 (3.3 ± 0.73),-2.1 ± 1.3,98 (4.7 ± 1.1),6.3 (1.8 ± 0.29)
131,Laminaria hyperborea,Live,1.9 (0.78 ± 0.69),36 (3.5 ± 0.69),-0.92 ± 0.91,151 (5.1 ± 1),5.2 (1.6 ± 0.35)
132,Laminaria hyperborea,Live,0.66 (-0.44 ± 0.51),105 (4.7 ± 0.51),-0.064 ± 0.59,196 (5.3 ± 0.88),4.3 (1.4 ± 0.4)
133,Laminaria hyperborea,Live,0.65 (-0.46 ± 0.52),107 (4.7 ± 0.52),-0.086 ± 0.61,194 (5.3 ± 0.9),4.3 (1.4 ± 0.4)
