marineEco,marineRealm,marineProv,EcoNumber,area not corrected,floatingandsinking.area,sinkingonly.area,floatingonly.area,total area.corrected.P.rock,exportF,exportFSD,exportS,exportSSD,exportFS,exportSF.SD,gCF,gCF.SD,gCS,gCS.SD,gCSF,N,NPP,NPP.SD,CRT,CRT.SD,export,exportcombinedSD,gCperm2,gC,NPP TgC,Exported NPP,TgC,,median seq 200 m y,median seq 530m y,Seq fraction 200m 25y,Seq fraction 200m 100y,Seq fraction 500m 25y,Seq fraction 530m 100y,Seq fraction 1000m 100y,TgC 200m 100y,TgC 530m 100y,TgC 1000m 100y,TgC 200m 25y,TgC 500m 25y,,,,,,,,,,,,,,,,,
Macquarie Island,Southern Ocean,Subantarctic Islands,212,0,0,0,0,0,37.63,NA,70.99,NA,54.31,NA,365.38,NA,193.67,NA,279.53,5262,511.26,3.76,0.01,NA,37.63,NA,365.38,0,0.00,0.0,0.00000,,75.0,116.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Kerguelen Islands,Southern Ocean,Subantarctic Islands,214,1085,0,0,496,496,25.53,5.33,18.94,12.49,22.23,13.58,230.20,141.51,264.75,113.24,247.47,7240,1228.43,330.89,76.17,29.79,25.53,5.33,230.20,1.14146E+11,0.61,18.7,0.11415,,28.8,171.8,0.11,0.05,0.39,0.21,0.42,0.0061,0.0245,0.0481,0.0120,0.0448,,,,,,,,,,,,,,,,,
South Shetland Islands,Southern Ocean,Scotia Sea,222,769,0,0,351,351,35.36,3.85,40.20,17.97,37.78,18.38,124.35,90.42,113.93,50.30,119.14,8792,337.65,147.12,24.26,19.21,35.36,3.85,124.35,43697334325,0.12,36.8,0.04370,,51.9,221.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Antarctic Peninsula,Southern Ocean,Scotia Sea,223,249,0,0,114,114,36.06,3.12,18.48,22.68,27.27,22.90,109.74,119.10,160.54,74.59,135.14,18275,367.83,153.67,23.67,19.71,36.06,3.12,109.74,12491206821,0.04,29.8,0.01249,,109.6,221.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
East Antarctic Wilkes Land,Southern Ocean,Continental High Antarctic,224,0,0,0,0,0,37.13,1.86,30.91,25.74,34.02,25.80,199.13,215.03,214.61,80.62,206.87,121408,513.07,218.89,12.15,11.99,37.13,1.86,199.13,0,0.00,0.0,0.00000,,230.8,221.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Campbell Island,Southern Ocean,Subantarctic New Zealand,231,7,2,1,0,3,37.63,0.00,37.78,27.25,37.70,27.25,389.85,353.16,412.27,212.24,401.06,4149,504.04,233.79,20.19,12.31,37.78,27.25,412.27,1251717628,0.00,80.3,0.00125,,28.8,83.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Auckland Island,Southern Ocean,Subantarctic New Zealand,232,207,57,38,0,95,36.50,1.77,35.98,25.22,36.24,25.28,278.96,305.31,270.86,147.12,274.91,3133,580.44,280.83,23.05,15.43,35.98,25.22,270.86,25902555628,0.06,47.1,0.02590,,17.3,94.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Fernando de Naronha and Atoll das Rocas,Tropical Atlantic,Tropical Southwestern Atlantic,74,3,0,0,2,2,37.63,NA,70.98,NA,54.30,NA,NA,NA,NA,NA,NA,3634,541.42,16.54,0.01,NA,37.63,NA,NA,NA,8.65E-04,37.6,3.25E-04,,28.8,149.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Marshall Islands,Eastern Indo-Pacific,"Marshall, Gilbert and Ellis Islands",153,10,0,0,4,4,37.63,0.00,69.90,1.28,53.76,1.28,NA,NA,NA,NA,NA,26157,104.38,NA,0.48,0.61,37.63,0.00,NA,NA,4.62E-04,37.6,1.74E-04,,17.3,138.6,0.04,0.01,0.47,0.14,0.82,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Phoenix/Tokelau/Northern Cook Islands,Eastern Indo-Pacific,Central Polynesia,156,3,0,0,2,2,37.63,0.00,70.98,0.00,54.30,0.00,NA,NA,NA,NA,NA,29328,619.16,97.69,0.01,0.00,37.63,0.00,NA,NA,9.51E-04,37.6,3.58E-04,,5.8,160.7,0.06,0.02,0.74,0.25,0.86,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Southern Cook/Austral Islands,Eastern Indo-Pacific,Southeast Polynesia,160,64,0,0,29,29,37.63,0.00,70.98,0.00,54.30,0.00,NA,NA,NA,NA,NA,21182,511.66,210.43,0.01,0.00,37.63,0.00,NA,NA,1.49E-02,37.6,5.61E-03,,17.3,171.8,0.12,0.03,0.49,0.16,0.72,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Revillagigedos,Tropical Eastern Pacific,Tropical East Pacific,164,23,0,0,10,10,37.63,NA,69.37,NA,53.50,NA,NA,NA,NA,NA,NA,7865,68.12,17.35,0.01,NA,37.63,NA,NA,NA,7.06E-04,37.6,2.66E-04,,17.3,194.0,0.44,0.05,0.99,0.51,0.89,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Juan Fernandez and Desventuradas,Temperate South America,Juan Fernandez and Desventuradas,179,55,0,25,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12027,1631.56,69.91,NA,NA,NA,NA,NA,NA,4.12E-02,NA,NA,,NA,NA,0.52,0.14,0.96,0.48,0.84,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Tristan Gough,Temperate South America,Tristan Gough,189,12,0,5,1,6,37.63,0.00,68.75,2.14,53.19,2.14,NA,NA,NA,NA,NA,14609,812.14,6.15,0.99,1.05,63.57,1.95,NA,NA,4.56E-03,63.6,2.90E-03,,28.8,116.4,0.27,0.07,0.54,0.21,0.55,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Heard and Macdonald Islands,Southern Ocean,Subantarctic Islands,213,8,0,3,0,4,37.63,0.00,55.74,29.57,46.68,29.57,NA,NA,NA,NA,NA,4964,733.11,266.07,2.99,5.40,53.32,27.52,NA,NA,2.58E-03,53.3,1.38E-03,,28.8,171.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Prince Edward Islands,Southern Ocean,Subantarctic Islands,216,1,0,0,1,1,37.63,NA,70.97,NA,54.30,NA,NA,NA,NA,NA,NA,5564,603.37,165.55,0.01,NA,37.63,NA,NA,NA,3.22E-04,37.6,1.21E-04,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
South Georgia,Southern Ocean,Scotia Sea,220,24,0,0,11,11,33.51,3.75,20.70,19.73,27.11,20.09,NA,NA,NA,NA,NA,8137,324.07,37.07,38.09,17.95,33.51,3.75,NA,NA,3.57E-03,33.5,1.20E-03,,51.9,149.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
