marineEco,marineRealm,marineProv,EcoNumber,area not corrected,floatingandsinking.area,sinkingonly.area,floatingonly.area,total area.corrected.P.rock,exportF,exportFSD,exportS,exportSSD,exportFS,exportSF.SD,gCF,gCF.SD,gCS,gCS.SD,gCSF,N,NPP,NPP.SD,CRT,CRT.SD,export,exportcombinedSD,gCperm2,gC,NPP TgC,Exported NPP,TgC,,median seq 200 m y,median seq 530m y,Seq fraction 200m 25y,Seq fraction 200m 100y,Seq fraction 500m 25y,Seq fraction 530m 100y,Seq fraction 1000m 100y,TgC 200m 100y,TgC 530m 100y,TgC 1000m 100y,TgC 200m 25y,TgC 500m 25y,,,,,,,,,,,,,,,,,
Southern China,Central Indo-Pacific,South China Sea,113,50177,16688,228,6008,22923,18.90,9.07,19.60,11.60,19.25,14.72,30.01,25.83,29.53,25.56,29.77,9331,188.15,170.65,168.16,95.83,19.16,13.44,29.83,6.83831E+11,4.31,15.9,0.68383,,17.3,83.1,0.11,0.02,0.38,0.10,0.49,0.0135,0.0701,0.3337,0.0769,0.2585,,,,,,,,,,,,,,,,,
South China Sea Oceanic Islands,Central Indo-Pacific,South China Sea,114,338,0,0,154,154,33.60,7.57,30.44,22.72,32.02,23.95,48.20,18.57,31.89,4.25,40.05,15210,86.17,10.97,38.75,55.74,33.60,7.57,48.20,7434402015,0.01,55.9,0.00743,,40.4,94.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Gulf of Thailand,Central Indo-Pacific,Sunda Shelf,115,88290,37040,0,3295,40335,3.64,0.69,3.61,0.77,3.62,1.03,1.84,1.55,1.85,1.54,1.85,7676,45.26,28.75,1161.43,190.72,3.62,1.01,1.85,74449379546,1.83,4.1,0.07445,,NA,NA,0.59,0.06,0.75,0.19,0.17,0.0046,0.0139,0.0129,0.0442,0.0561,,,,,,,,,,,,,,,,,
Southern Vietnam,Central Indo-Pacific,Sunda Shelf,116,64111,26594,0,2695,29289,14.71,5.98,14.63,6.14,14.67,8.57,9.92,5.22,9.97,5.18,9.94,4121,66.70,30.25,321.55,373.31,14.68,8.37,9.94,2.9108E+11,1.95,14.9,0.29108,,51.9,94.2,0.34,0.04,0.55,0.15,0.24,0.0124,0.0450,0.0688,0.0997,0.1597,,,,,,,,,,,,,,,,,
Sunda Shelf/Java Sea,Central Indo-Pacific,Sunda Shelf,117,359160,130270,0,33811,164081,9.74,4.59,9.66,4.68,9.70,6.56,9.13,3.72,9.17,3.67,9.15,23328,103.61,51.45,432.82,184.84,9.71,6.20,9.14,1.5005E+12,17.00,8.8,1.50050,,40.4,94.2,0.13,0.03,0.28,0.17,0.71,0.0465,0.2618,1.0639,0.1936,0.4196,,,,,,,,,,,,,,,,,
Malacca Strait,Central Indo-Pacific,Sunda Shelf,118,51520,13522,0,10014,23537,8.91,2.60,8.56,3.14,8.73,4.08,6.31,4.38,6.47,4.27,6.39,4147,67.27,32.60,441.71,165.61,8.81,3.53,6.36,1.49685E+11,1.58,9.5,0.14968,,NA,NA,0.36,0.04,0.39,0.15,0.38,0.0064,0.0222,0.0566,0.0539,0.0590,,,,,,,,,,,,,,,,,
Southern Java,Central Indo-Pacific,Java Transitional,119,18618,5211,0,3294,8506,17.70,14.58,18.69,17.62,18.19,22.87,26.74,28.83,24.60,22.05,25.67,8603,231.40,80.22,386.95,343.25,17.70,14.58,26.74,2.21887E+11,1.97,11.3,0.22189,,40.4,149.6,0.18,0.04,0.79,0.32,0.76,0.0085,0.0711,0.1689,0.0399,0.1758,,,,,,,,,,,,,,,,,
Cocos-Keeling/Christmas Island,Central Indo-Pacific,Java Transitional,120,64,29,0,0,29,37.63,0.00,70.80,0.25,54.21,0.25,249.05,NA,132.04,NA,190.54,9885,322.86,15.89,0.09,0.12,37.63,0.00,249.05,5601910330,0.01,59.0,0.00560,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
South Kuroshio,Central Indo-Pacific,South Kuroshio,121,1480,421,52,204,676,37.63,0.00,63.56,14.18,50.59,14.18,49.17,22.36,29.41,10.99,39.29,12945,93.56,51.39,1.90,1.85,47.68,11.85,41.51,28066811226,0.06,44.4,0.02807,,5.8,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Ogasawara Islands,Central Indo-Pacific,Tropical Northwestern Pacific,122,17,0,0,8,8,37.63,0.00,70.78,0.20,54.20,0.20,28.68,7.15,15.29,3.82,21.99,14552,40.64,7.18,0.13,0.09,37.63,0.00,28.68,219532770.4,0.00,70.6,0.00022,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Mariana Islands,Central Indo-Pacific,Tropical Northwestern Pacific,123,99,0,0,45,45,37.63,0.00,70.76,0.30,54.19,0.30,213.49,10.71,113.54,6.18,163.51,12028,260.31,38.88,0.11,0.14,37.76,0.03,213.08,9655348837,0.01,81.9,0.00966,,5.8,61.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
East Caroline Islands,Central Indo-Pacific,Tropical Northwestern Pacific,124,857,0,0,392,392,37.63,0.00,68.12,5.06,52.87,5.06,198.14,10.86,109.22,4.18,153.68,26243,283.67,12.66,1.17,1.24,37.63,0.00,198.14,77609827951,0.11,69.9,0.07761,,5.8,171.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
West Caroline Islands,Central Indo-Pacific,Tropical Northwestern Pacific,125,1417,333,0,315,648,37.63,0.00,69.88,1.72,53.76,1.72,193.74,31.08,104.60,16.06,149.17,11678,283.02,26.91,0.47,0.78,45.92,1.24,170.82,1.10617E+11,0.18,60.4,0.11062,,5.8,83.1,0.00,0.00,0.34,0.09,0.78,0.0000,0.0100,0.0867,0.0001,0.0372,,,,,,,,,,,,,,,,,
Palawan/North Borneo,Central Indo-Pacific,Western Coral Triangle,126,61997,15751,0,12572,28323,30.79,8.52,31.06,16.57,30.93,18.63,28.56,23.22,28.10,16.82,28.33,10145,94.78,48.77,61.04,67.44,30.79,8.52,28.56,8.0536E+11,2.68,30.0,0.80536,,28.8,94.2,0.11,0.03,0.37,0.14,0.45,0.0205,0.1095,0.3584,0.0886,0.2980,,,,,,,,,,,,,,,,,
Eastern Philippines,Central Indo-Pacific,Western Coral Triangle,127,30881,4463,0,9645,14108,33.71,7.41,34.88,23.49,34.30,24.63,77.51,94.42,63.83,53.52,70.67,14097,176.81,123.59,61.30,252.19,33.89,15.15,75.35,1.06301E+12,2.49,42.6,1.06301,,5.8,72.1,0.09,0.02,0.34,0.11,0.41,0.0191,0.1121,0.4326,0.0935,0.3561,,,,,,,,,,,,,,,,,
Sulawesi Sea/Makassar Strait,Central Indo-Pacific,Western Coral Triangle,128,41648,13001,0,6025,19027,23.12,13.47,26.48,21.76,24.80,25.60,23.73,20.29,22.27,15.60,23.00,10781,117.45,41.77,193.14,216.25,24.26,22.48,23.23,4.41968E+11,2.23,19.8,0.44197,,5.8,83.1,0.05,0.01,0.41,0.15,0.72,0.0055,0.0665,0.3189,0.0241,0.1794,,,,,,,,,,,,,,,,,
Papua,Central Indo-Pacific,Western Coral Triangle,130,571,0,0,261,261,29.97,9.02,28.57,20.33,29.27,22.24,104.94,74.36,101.22,18.74,103.08,10002,282.94,35.94,62.56,75.40,29.97,9.02,104.94,27372182838,0.07,37.1,0.02737,,5.8,83.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Banda Sea,Central Indo-Pacific,Western Coral Triangle,131,14602,207,0,6464,6671,28.33,12.73,24.24,27.12,26.29,29.96,17.38,25.24,28.78,18.69,23.08,12044,107.41,46.07,234.74,642.14,28.27,13.59,17.55,1.17091E+11,0.72,16.3,0.11709,,17.3,127.5,0.04,0.01,0.51,0.19,0.74,0.0006,0.0219,0.0866,0.0046,0.0592,,,,,,,,,,,,,,,,,
