Habitat,Species,Type,Order,Family,Genus,species_epithet,Multispecies,Site,Lat_converted,Long_converted,Originalcoordinates,Depth_min_m,Depth_max_m,Start_year,End_year,Ann_sampling_freq,Seasons,Data_mining_method,Trusted_data,Prod_method,Prod_method_group,Avg_prod,Ann_stdev,Ann_prod_units,DW:Carbon_Conversion_factor,Avg_ann_prod_kg_C_m2_y,Ann_prod_stdev_kg_C_m2_y,Avg_ann_erosion,Avg_ann_erosion_stdev,Erosion_units,Erosion_method,Avg_ann_erosion kgCm2,Avg_ann_dislodge,Avg_ann_dislodge_stdev,Dislodge_units,Dislodge_method,Avg_ann_dislodgement kgCm2,Avg_ann_frond_loss,Ann_frond_loss_stdev,Frond_loss_units,Frond_loss_methods,Avg_ann_frond_loss kgCm2,Avg_DOC_prod,DOC_stdev,Ann_prod_units,DOC_kg_C_m2_y,DOC_stdev_kg_C_m2_y,Total_detritus_g_C_m2_yr,Proportion_NPP_loss POC,Percentatge_NPP_stdev,Person_entering_data,Notes,Description,Reference,,
Temperate & Polar Subtidal,Laminaria hyperborea,Brown,Laminariales,Laminariaceae,Laminaria,hyperborea,NO,Plymouth Sound Site 2,50.33333333,-4.133333333,YES,0,1,2016,2017,12,all,Raw data,Y,Hole punch,BA-tagging,0.229,0.113,kg C m-2 y-1,,0.229,0.113,0.215,0.12,kg C m-2 y-1,Hole punch,0.215,,,,,,,,,,,,,,,,0.215,0.94,,AP,,,Pessarrodona et al. 2018,,
Temperate & Polar Subtidal,Saccharina latissima,Brown,Laminariales,Laminariaceae,Saccharina,latissima,NO,Splitnose Point,44.47734717,-63.546725,YES,4,8,2008,2009,4,all,Raw data,Y,Hole punch,BA-tagging,0.34,0.36,kg dw m-2 y-1,0.275,0.0935,0.099,0.31,0.21,kg dw m-2 y-1,Hole punch,0.08525,,,,,,,,,,,,,,,,0.08525,0.91,,KK,,,"Krumhansl, Scheibling (2012)",,
Temperate & Polar Subtidal,Ecklonia cava,Brown,Laminariales,Lessoniaceae,Ecklonia,cava,NO,Japan,41.03333333,136.3,NO,NA,NA,1975,1975,,,,N,,Unknown,2.8,NA,kg dw m-2 y-1,0.334,0.851,NA,0.774,,kg C m-2 y-1,,0.774,,,,,,,,,,,,,,,,0.774,0.91,,KK,,,Hayashida 1977,,
Temperate & Polar Subtidal,Saccharina latissima,Brown,Laminariales,Laminariaceae,Saccharina,latissima,NO,Cranberry Cove,44.50008617,-63.922975,YES,4,8,2008,2009,4,all,Raw data,Y,Hole punch,BA-tagging,0.63,0.45,kg dw m-2 y-1,0.275,0.17325,0.12375,0.54,0.39,kg dw m-2 y-1,Hole punch,0.1485,,,,,,,,,,,,,,,,0.1485,0.86,,KK,,,"Krumhansl, Scheibling (2012)",,
Temperate & Polar Subtidal,Laminaria digitata,Brown,Laminariales,Laminariaceae,Laminaria,digitata,NO,Plymouth Sound Site 2,50.33333333,-4.133333333,YES,0,1,2016,2017,12,all,Raw data,Y,Hole punch,BA-tagging,0.2775,0.095,kg C m-2 y-1,,0.278,0.095,0.217,0.077,kg C m-2 y-1,Hole punch,0.217,,,,,,,,,,,,,,,,0.217,0.78,,AP,,,Pessarrodona unpub,,
Temperate & Polar Subtidal,Laminaria pallida,Brown,Laminariales,Laminariaceae,Laminaria,pallida,NO,"Cape Town, South Africa",-33.985,18.35,YES,0,20,1975,1975,,,Text,Y,P/B extrapolation,BA-single harvest,0.573,NA,kg DW m-2 y-1,0.253,0.144,NA,0.101,,kg C m-2 y-1,,0.101,0.009,,kg C m-2 y-1,,0.009,,,,,,,,,,,0.11,0.76,,AP,,,Newell et al. 1982,,
Temperate & Polar Subtidal,Macrocystis pyrifera,Brown,Laminariales,Laminariaceae,Macrocystis,pyrifera,NO,"Arroyo Quemado Reef, California",34.76666667,-120.1166667,YES,4,15,2002,2017,12,all,Raw data,Y,Model,BA-periodic harvest,1.0488324,0.6761303,kg C m-2 y-1,,0.930416,0.1423,,,kg C m-2 y-1,,,0.11826,,kg C m-2 y-1,,0.11826,0.539105,,kg C m-2 y-1,,0.539105,0.266085,NA,kg C m-2 y-1,0.09735254,0.0917456,0.657365,0.71,0.04902535,AP,,"Model based on foliar standing crop changes. NPP = growth based on the observed change in standing crop - biomass lost (as whole plants, fronds, fronds due to propeller damage, senescing blade material and DOM)",Rassweiler et al 2018,,
Temperate & Polar Subtidal,Saccharina latissima,Brown,Laminariales,Laminariaceae,Saccharina,latissima,NO,"Coster's Harbor,Rhode Island",41.475,-71.425,YES,1.5,3,1980,1981,12,all,Text,Y,Hole punch,BA-tagging,1.202,0.633,kg C m-2 y-1,,1.202,0.633,,,,,,0.839,,kg C m-2 y-1,,0.839,,,,,,,,,,,0.839,0.70,,KK,,"20 plants hole punched. Various individuals of diff lenghts dried to obtain length weight relationship, monthly elongation then converted to dry weight and Carbon based on study carbon content",Brady-Campbell et al. 1984,,
Temperate & Polar Subtidal,Macrocystis pyrifera,Brown,Laminariales,Laminariaceae,Macrocystis,pyrifera,NO,Mohawk Reef,34.38333333,-119.7166667,YES,4,15,2002,2017,12,all,Raw data,Y,Model,BA-periodic harvest,1.5238463,1.0384942,kg C m-2 y-1,,1.523846,0.218513,,,kg C m-2 y-1,,,0.160235,,kg C m-2 y-1,,0.160235,0.777012,,kg C m-2 y-1,,0.777012,0.120815,NA,kg C m-2 y-1,0.11756017,0.09289177,0.937247,0.62,0.08945682,AP,,"Model based on foliar standing crop changes. NPP = growth based on the observed change in standing crop - biomass lost (as whole plants, fronds, fronds due to propeller damage, senescing blade material and DOM)",Rassweiler et al 2018,,
Temperate & Polar Subtidal,Saccharina latissima,Brown,Laminariales,Laminariaceae,Saccharina,latissima,NO,Duncan's Cove Protected,44.497925,-63.52638617,YES,4,8,2008,2009,4,all,Raw data,Y,Hole punch,BA-tagging,0.86,0.62,kg dw m-2 y-1,0.275,0.2365,0.1705,0.46,0.33,kg dw m-2 y-1,Hole punch,0.1265,,,,,,,,,,,,,,,,0.1265,0.53,,KK,,,"Krumhansl, Scheibling (2012)",,
Temperate & Polar Subtidal,Saccharina angustata,Brown,Laminariales,Laminariaceae,Saccharina,angustata,NO,Nishise shoal,41.71666667,141.0666667,YES,NA,NA,1967,1968,6,all,Text,Y,Periodic Harvest,BA-periodic harvest,0.889,NA,kg dw m-2 y-1,0.3,0.2667,NA,0.126,,kg dw m-2 y-1,,0.0378,0.332,,kg dw m-2 y-1,,0.0996,,,,,,,,,,,0.1374,0.52,,AP,,Biomass model of initial biomass+growth+recruitment-erosion-dislodgment-grazing. Descriptions of site on an earlier manuscript but very few details,Fuji & Kawamura 1970,,
Temperate & Polar Subtidal,Ecklonia radiata,Brown,Laminariales,Lessoniaceae,Ecklonia,radiata,NO,Goat Island (shallow),-36.26666667,174.8,YES,7,7,1977,1980,12,all,Text,Y,Hole punch,BA-tagging,3,NA,kg dw m-2 y-1,0.36,1.08,NA,1.5,,kg dw m-2 y-1,,0.54,,,,,,,,,,,,,,,,0.54,0.50,,AP,,"19 plants of all sizes continuosly monitored. Values are for large canopy forming plants. She provides values per age class and the extrapolation to m2 a bit dodgy, she does not provide the density data for each class used and seems to be guessing",Novaczek 1984,,
Temperate & Polar Subtidal,Ecklonia radiata,Brown,Laminariales,Lessoniaceae,Ecklonia,radiata,NO,Goat Island (deep),-36.26666667,174.8,YES,15,15,1977,1980,12,all,Text,Y,Hole punch,BA-tagging,0.5,NA,kg dw m-2 y-1,0.36,0.18,NA,0.25,,kg dw m-2 y-1,,0.09,,,,,,,,,,,,,,,,0.09,0.50,,AP,,"12 plants of all sizes continuosly monitored. Values are for large canopy forming plants. She provides values per age class and the extrapolation to m2 a bit dodgy, she does not provide the density data for each class used and seems to be guessing",Novaczek 1984,,
Temperate & Polar Subtidal,Laminaria digitata,Brown,Laminariales,Laminariaceae,Laminaria,digitata,NO,The Lodge,44.55916117,-64.0324305,YES,4,8,2008,2009,4,all,Raw data,Y,Hole punch,BA-tagging,0.05,0.03,kg dw m-2 y-1,0.285,0.01375,0.00855,0.01,0.11,kg dw m-2 y-1,Hole punch,0.00285,,,,,,,,,,,,,,,,0.00285,0.21,,KK,,,"Krumhansl, Scheibling (2012)",,
Temperate & Polar Subtidal,Macrocystis pyrifera,Brown,Laminariales,Laminariaceae,Macrocystis,pyrifera,NO,Falkland Islands,-51.681743,-57.848351,NO,3,3,1986,1986,2,"Spring, Autumn",Text,Y,,BA-periodic harvest,27.121,NA,kg Fw m-2 y-1,0.322,0.766,NA,,,,,,0.157,,kg C m-2 y-1,,0.157,,,,,,,,,,,0.157,0.20,,KK,,"Net productivity of the population was calculated by summing the production rates (wet g m 2 per frond per day; Tussenbroek, I989a. Growth was measured as the increase in number of nodes on the fronds. Prod = mean daily production for spring and autumn, multiplied by 365",Van Tussenbroek 1993,,
Temperate & Polar Subtidal,Macrocystis pyrifera,Brown,Laminariales,Laminariaceae,Macrocystis,pyrifera,NO,"British Columbia, Canada",49.84666667,-125.1633333,YES,0,4,1979,1981,6,all,Text,Y,Model,BA-periodic harvest,1.3,NA,kg C m-2 y-1,,1.3,NA,,,,,,0.232,,kg C m-2 y-1,,0.232,,,,,,,,,,,0.232,0.18,,KK,,"Model based on changes in standing crop and foliar area. By multiplying the NAR by the LAI, the crop growth rate (CGR) can be calculated.he formula for NAP, is: NAR= (in A2 - In Aa) (A2 - Aa) -a (W2 - Wl) (t2 - tl) -1, where A is the calculated mean area per plant (from the mean weight per plant using conversion in Table 1) and W is the calculated mean g carbon or nitrogen per plant (from the mean weight per plant and conversions in Table 2)",Wheeler & Druehl 1986,,
Temperate & Polar Subtidal,Saccharina latissima,Brown,Laminariales,Laminariaceae,Saccharina,latissima,NO,"Loch Creran, Scotland",56.5288,-5.342433333,YES,NA,NA,NA,NA,NA,NA,Text,Y,"14C, O2 & Hole punch (loss)",BA & PR,0.12,NA,kg C m-2 y-1,,0.12,NA,0.044,,kg C m-2 y-2,Hole punch,0.044,,,,,,,,,,,0.016,NA,kg C m-2 y-1,0.016,NA,0.044,0.13,,AP,,,Johnston et al. 1977,,
Temperate & Polar Subtidal,Macrocystis pyrifera,Brown,Laminariales,Laminariaceae,Macrocystis,pyrifera,NO,"Arroyo Burro Reef, California",34.4,-119.7333333,YES,4,15,2002,2017,12,all,Raw data,Y,Model,BA-periodic harvest,0.3236275,0.4770674,kg C m-2 y-1,,0.302749,0.090759,,,kg C m-2 y-1,,,0.039055,,kg C m-2 y-1,,0.039055,0.16279,,kg C m-2 y-1,,0.16279,0.03358,NA,kg C m-2 y-1,0.03145481,0.06997851,0.201845,0.12,0.1654497,AP,,"Model based on foliar standing crop changes. NPP = growth based on the observed change in standing crop - biomass lost (as whole plants, fronds, fronds due to propeller damage, senescing blade material and DOM)",Rassweiler et al 2018,,
Temperate & Polar Subtidal,Ecklonia maxima,Brown,Laminariales,Lessoniaceae,Ecklonia,maxima,NO,"Cape Town, South Africa",-33.985,18.35,YES,0,20,1975,1975,,,Text,Y,P/B extrapolation,BA-single harvest,1.041,NA,kg dw m-2 y-1,0.293948127,0.306,NA,0.024,,kg C m-2 y-1,,0.024,0.002,,kg C m-2 y-1,,0.002,,,,,,,,,,,0.026,0.08,,AP,,,Newell et al. 1982,,
Temperate & Polar Subtidal,Sargassum silquastrum,Brown,Fucales,Sargassaceae,Sargassum,silquastrum,NO,Wakasa Bay,35.65,135.2666667,YES,2,2.5,2002,2003,12,all,Text,Y,"Periodic Harvest ""stratified clip""",BA-periodic harvest,1.458,NA,kg dw m-2 y-1,0.32,0.46656,NA,1.54,,kg dw m-2 y-1,,0.4928,,,,,,,,,,,,,,,,0.4928,1.06,,AP,,four 0.25m2. difference of standing crops + amount of lost (estimated from the difference in productive structures as it is considered that they do not grow much),Yatsuya et al. 2005,,
Temperate & Polar Subtidal,Sargassum piluliferum,Brown,Fucales,Sargassaceae,Sargassum,piluliferum,NO,Wakasa Bay,35.65,135.2666667,YES,2,2.5,2002,2003,12,all,Text,Y,"Periodic Harvest ""stratified clip""",BA-periodic harvest,1.471,NA,kg dw m-2 y-1,0.32,0.47072,NA,1.504,,kg dw m-2 y-1,,0.48128,,,,,,,,,,,,,,,,0.48128,1.02,,AP,,four 0.25m2. difference of standing crops + amount of lost (estimated from the difference in productive structures as it is considered that they do not grow much),Yatsuya et al. 2005,,
Temperate & Polar Subtidal,Sargassum macrocarpum,Brown,Fucales,Sargassaceae,Sargassum,macrocarpum,NO,Wakasa Bay,35.65,135.2666667,YES,1.5,5,2002,2003,12,all,Text,Y,"Periodic Harvest ""stratified clip""",BA-periodic harvest,2.132,NA,kg dw m-2 y-1,0.32,0.68224,NA,2.08,,kg dw m-2 y-1,,0.6656,,,,,,,,,,,,,,,,0.6656,0.98,,AP,,four 0.25m2. difference of standing crops + amount of lost (estimated from the difference in productive structures as it is considered that they do not grow much),Yatsuya et al. 2005,,
Temperate & Polar Subtidal,Sargassum yezoense,Brown,Fucales,Sargassaceae,Sargassum,yezoense,NO,Tomari-hama,38.35,141.5333333,YES,1,2,1997,1998,,,Text,Y,Periodic Harvest,BA-periodic harvest,0.9039,NA,kg dw m-2 y-1,0.32,0.289248,NA,0.758,,kg dw m-2 y-1,,0.24256,,,,,,,,,,,,,,,,0.24256,0.84,,AP,,four 0.25m2,Agatsuma et. al 2002,,
Temperate & Polar Subtidal,Sargassum patens,Brown,Fucales,Sargassaceae,Sargassum,patens,NO,Wakasa Bay,35.65,135.2666667,YES,1.5,5,2002,2003,12,all,Text,Y,"Periodic Harvest ""stratified clip""",BA-periodic harvest,2.407,NA,kg dw m-2 y-1,0.32,0.77024,NA,1.831,,kg dw m-2 y-1,,0.58592,,,,,,,,,,,,,,,,0.58592,0.76,,AP,,four 0.25m2. difference of standing crops + amount of lost (estimated from the difference in productive structures as it is considered that they do not grow much),Yatsuya et al. 2005,,
